=== Q08a: municipio ativo x fonte (scraper_municipio_coleta), piores primeiro ===
pos_alfa|nome|fonte|ultima_coleta_brt|dias_desde_carimbo|tentativas|ultimo_erro_brt|qualidade|detalhe_pagina|ultimo_erro
8|Caranaíba|transferegov|08-29 21:11|0.1|0||bom|1|
10|Carmópolis de Minas|transferegov|08-29 21:23|0.0|0||bom|1|
(210 rows)
=== Q08b: resumo por fonte vs STALENESS_MUNICIPIO_H ===
fonte|teto_h|ativos|com_linha|bons|em_erro|nunca|bons_mas_velhos|med_h|max_h
cagec|48|42|42|40|2|0|0|8.7|140.5
sigcon|48|42|25|22|3|17|0|10.6|350.1
sigcon_emendas||42|22|22|0|20|0|9.9|16.0
simec_termos||42|42|42|0|0|0|19.4|19.4
transferegov|36|42|42|35|7|0|0|11.4|25.2
(5 rows)
=== Q08c: semantica empirica do carimbo ===
fonte|n|erro_apos_carimbo|carimbo_no_erro|sem_carimbo
cagec|42|0|2|0
sigcon|25|0|2|1
sigcon_emendas|22|0|0|0
simec_termos|42|0|0|0
transferegov|42|0|7|0
(5 rows)
=== Q08d: terco alfabetico x atraso ===
fonte|terco|n|media_dias|max_dias|media_tentativas
cagec|1|14|0.50|1.11|0.43
cagec|2|14|1.02|5.85|0.36
cagec|3|14|0.38|1.11|0.00
sigcon|1|7|0.36|0.48|0.00
sigcon|2|8|0.36|0.67|0.00
sigcon|3|10|3.61|14.59|6.40
sigcon_emendas|1|7|0.36|0.48|0.00
sigcon_emendas|2|8|0.36|0.67|0.00
sigcon_emendas|3|7|0.47|0.58|0.00
simec_termos|1|14|0.81|0.81|0.00
simec_termos|2|14|0.81|0.81|0.00
simec_termos|3|14|0.81|0.81|0.00
transferegov|1|14|0.34|1.05|0.21
transferegov|2|14|0.66|0.97|0.14
transferegov|3|14|0.46|0.72|0.14
(15 rows)
fonte|corr_pos_x_dias|corr_pos_x_tentativas
cagec|0.02|-0.14
sigcon|0.25|0.20
sigcon_emendas|0.24|
simec_termos|-1.00|
transferegov|0.15|-0.13
(5 rows)
=== Q09a: carimbos das tabelas de dados por municipio ativo ===
pos_alfa|nome|n_prop|d_tg_upd|d_tg_det|d_tg_hist|d_tg_ops|n_sigcon|d_sigcon|n_fns|d_fns|d_cagec|cagec_pesq|cagec_reg|d_cauc|cauc_pesq|n_em_est|d_em_est
1|Arapuá|66|0.2|0.2|4.1|0.2|47|0.0|25|0.8|1.1|2026-08-28|f|0.0|2026-08-28|32|2.0
2|Araújos|83|0.2|0.2|5.2|0.2|28|0.0|43|0.8|0.6|2026-08-29|f|0.0|2026-08-28|21|0.5
3|Arcos|147|0.1|0.1|4.0|2.1|0||53|0.8||||0.0|2026-08-28||
4|Bom Despacho|145|0.1|0.1|0.1|0.1|49|0.0|80|0.8|0.6|2026-08-29|f|0.0|2026-08-28|55|13.0
5|Bonfim|69|0.1|0.1|1.1|0.1|47|0.0|44|0.8|0.6|2026-08-29|f|0.0|2026-08-28|55|18.0
6|Camacho|44|0.1|0.1|0.1|0.1|0||31|0.8|0.6|2026-08-29|f|0.0|2026-08-28||
7|Capela Nova|34|0.1|0.1|1.1|2.1|0||26|0.8|0.6|2026-08-29|f|0.0|2026-08-28||
8|Caranaíba|36|0.1|0.1|5.0|2.1|0||20|0.8|0.6|2026-08-29|f|0.0|2026-08-28||
9|Carandaí|78|0.6|0.6|3.6|2.6|36|0.0|45|0.8|0.6|2026-08-29|f|0.0|2026-08-28|50|0.4
10|Carmópolis de Minas|107|0.0|0.0|2.0|1.1|0||46|0.8|0.4|2026-08-29|f|0.0|2026-08-28||
11|Casa Grande|39|0.8|1.1|5.0|2.0|0||19|0.8|0.4|2026-08-29|f|0.0|2026-08-28||
12|Cláudio|82|0.8|1.0|1.0|2.0|0||52|0.8|0.4|2026-08-29|t|0.0|2026-08-28||
13|Conceição do Pará|68|0.6|0.6|0.6|2.6|60|0.0|32|0.8|0.4|2026-08-29|f|0.0|2026-08-28|38|0.4
14|Córrego Danta|64|0.6|0.6|1.6|2.6|43|0.0|34|0.8|0.1|2026-08-29|f|0.0|2026-08-28|30|0.3
15|Desterro de Entre Rios|59|0.6|0.6|4.4|0.6|27|0.0|36|0.8|0.1|2026-08-29|t|0.0|2026-08-28|39|0.2
16|Estrela do Indaiá|38|0.8|1.0|6.6|1.0|0||29|0.8|0.1|2026-08-29|f|0.0|2026-08-28||
17|Heliodora|71|0.8|0.9|0.9|1.9|0||38|0.8|0.1|2026-08-29|t|0.0|2026-08-28||
18|Ibitiúra de Minas|54|0.8|0.9|2.9|1.9|0||23|0.8|0.1|2026-08-29|t|0.0|2026-08-28||
19|Igarapé|171|0.8|0.8|0.8|0.8|0||61|0.8|1.1|2026-08-28|f|0.0|2026-08-28||
20|Igaratinga|73|0.5|0.5|3.5|0.5|37|0.0|42|0.8|1.1|2026-08-28|t|0.0|2026-08-28|25|0.2
21|Iguatama|100|0.8|0.8|1.8|1.8|38|0.0|40|0.8|1.1|2026-08-28|f|0.0|2026-08-28|33|0.7
22|Itaguara|162|0.8|0.8|2.8|1.8|0||40|0.8|1.1|2026-08-28|f|0.0|2026-08-28||
23|Japaraíba|52|0.5|0.5|0.5|3.5|23|0.0|27|0.8|1.1|2026-08-28|t|0.0|2026-08-28|22|2.6
24|Lagoa Dourada|67|0.5|0.5|1.5|2.5|28|0.0|36|0.8|0.6|2026-08-29|f|0.0|2026-08-28|32|0.2
25|Martinho Campos|134|0.5|0.5|6.2|0.5|40|0.0|45|0.8|0.6|2026-08-29|f|0.0|2026-08-28|36|0.2
26|Moema|58|0.4|0.4|0.4|0.4|32|0.0|34|0.8|0.6|2026-08-29|t|0.0|2026-08-28|43|0.7
27|Nova Lima|89|0.7|0.7|0.7|0.7|0||49|0.8||||0.0|2026-08-28||
28|Nova Serrana|78|0.4|0.4|1.4|0.4|38|0.0|70|0.8|0.6|2026-08-29|t|0.0|2026-08-28|35|0.5
29|Oliveira Fortes|66|0.7|0.7|1.7|1.7|31|0.0|27|0.8|0.4|2026-08-29|f|0.0|2026-08-28|36|13.2
30|Papagaios|63|0.7|0.7|6.5|1.7|0||38|0.8|0.4|2026-08-29|f|0.0|2026-08-28||
31|Passa Tempo|52|0.7|0.7|3.6|1.7|0||37|0.8|0.4|2026-08-29|t|0.0|2026-08-28||
32|Pequi|42|0.4|0.4|19.8|0.4|28|0.0|33|0.8|0.4|2026-08-29|f|0.0|2026-08-28|35|0.6
33|Perdigão|73|0.4|0.4|4.3|0.4|39|0.0|47|0.8|0.4|2026-08-29|t|0.0|2026-08-28|20|2.2
34|Piracema|107|0.3|0.3|0.3|0.3|0||40|0.8|0.4|2026-08-29|f|0.0|2026-08-28||
35|Santo Antônio do Monte|107|0.6|0.6|0.6|0.6|0||62|0.8|0.4|2026-08-29|t|0.0|2026-08-28||
36|Senhora dos Remédios|76|0.6|0.6|1.6|1.6|0||31|0.8|0.1|2026-08-29|f|0.0|2026-08-28||
37|São Brás do Suaçuí|57|0.3|0.3|1.3|0.3|22|0.0|18|0.8|0.1|2026-08-29|f|0.0|2026-08-28|16|3.9
38|São Francisco de Paula|72|0.3|0.3|4.1|0.3|27|0.0|30|0.8|0.1|2026-08-29|f|0.0|2026-08-28|23|0.5
39|São Sebastião do Oeste|44|0.3|0.3|6.1|0.3|39|0.0|33|0.8|0.1|2026-08-29|f|0.0|2026-08-28|47|0.5
40|São Tiago|94|0.2|0.2|0.2|0.2|0||33|0.8|0.1|2026-08-29|f|0.0|2026-08-28||
41|Tocos do Moji|31|0.6|0.6|6.4|1.6|0||22|0.8|1.1|2026-08-28|f|0.0|2026-08-28||
42|Toledo|47|0.2|0.2|1.2|0.2|39|0.0|37|0.8|1.1|2026-08-28|f|0.0|2026-08-28|39|2.1
(42 rows)
=== Q09c: terco alfabetico x idade do detalhe/historico ===
terco|n|media_d_det|max_d_det|media_d_hist|sem_detalhe
1|14|0.3|1.1|2.4|0
2|14|0.7|1.0|2.5|0
3|14|0.5|0.7|4.1|0
(3 rows)
corr_pos_x_dias_detalhe
0.15
(1 row)
=== Q10: sessoes gov.br no Cofre (sem coluna cifrada) ===
id|municipio_id|sistema|automation_key|categoria|len_cifrado|criado_brt|atualizado_brt|h_desde_update|observacao
16|1|gov.br - Conta Unica|govbr|Federal|17967|2026-06-03 08:00|2026-08-29 22:33|0.0|[SESSION] capturado em 2026-08-25T01:36:49.991249+00:00 | cookies=17 httpOnly=10 | url=https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsult | ua=Mozilla
99|34|gov.br - Conta Unica|govbr|Federal|61|2026-08-10 22:51|2026-08-10 22:51|455.7|
97|60|gov.br - Conta Unica|govbr|Federal|54|2026-08-10 22:46|2026-08-10 22:46|455.8|
94|7|gov.br - Conta Unica|govbr|Federal|51|2026-08-10 22:37|2026-08-10 22:37|455.9|
87|24|gov.br - Conta Unica|govbr|Federal|57|2026-08-10 22:27|2026-08-10 22:27|456.1|
82|20|gov.br - Conta Unica|govbr|Federal|51|2026-08-10 22:22|2026-08-10 22:22|456.2|
78|18|gov.br - Conta Unica|govbr|Federal|62|2026-08-10 21:51|2026-08-10 21:51|456.7|
77|16|gov.br - Conta Unica|govbr|Federal|54|2026-08-10 21:47|2026-08-10 21:47|456.8|
75|15|gov.br - Conta Unica|govbr|Federal|54|2026-08-10 21:45|2026-08-10 21:45|456.8|
74|49|gov.br - Conta Unica|govbr|Federal|59|2026-08-10 21:40|2026-08-10 21:40|456.9|
73|48|gov.br - Conta Unica|govbr|Federal|58|2026-08-10 21:39|2026-08-10 21:39|456.9|
67|8|gov.br - Conta Unica|govbr|Federal|59|2026-08-02 09:45|2026-08-02 09:45|660.8|GOV
18|2|Sessao GOVBR|govbr|Sessao|59|2026-06-03 14:44|2026-07-02 08:05|1406.5|[SESSION] capturado em 2026-06-03T17:44:47.643069+00:00 | cookies=11 httpOnly=6 | url=https://parcerias.transferegov.sistema.gov.br/ep-atos-prep-web/home | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64)
17|3|Sessao GOVBR|govbr|Sessao|59|2026-06-03 12:11|2026-07-02 08:05|1406.5|[SESSION] capturado em 2026-06-03T15:11:03.477457+00:00 | cookies=11 httpOnly=6 | url=https://parcerias.transferegov.sistema.gov.br/ep-atos-prep-web/home | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64)
